CO	 N	 busy
38	 1	 28.549999999999997	
68	 2	 18.620000000000005	
96	 3	 25.03	
116	 4	 28.810000000000002	
140	 5	 33.790000000000006	
156	 6	 37.44	
176	 7	 42.16	
193	 8	 44.6	
207	 9	 47.86	
224	 10	 51.57	
236	 11	 54.47	
248	 12	 57.34	
254	 13	 59.55	
257	 14	 60.53	
275	 15	 62.95	
276	 16	 63.61	
283	 17	 65.7	
295	 18	 68.38	
317	 19	 71.77	
340	 20	 76	
332	 21	 76.23	
322	 22	 75.53	
358	 23	 84.42	
355	 24	 84.05	
366	 25	 84.19	
356	 26	 80.3	
344	 27	 83.28999999999999	
356	 28	 83.19	
371	 29	 84.96000000000001	
408	 30	 92.1	
388	 31	 88.24	
420	 32	 96.87	
398	 33	 90.34	
401	 34	 90.36	
427	 35	 96.62	
411	 36	 96.74	
423	 37	 98.75	
425	 38	 97.49	
438	 39	 99.37	
406	 40	 97.37	
430	 41	 99.75	
424	 42	 99.62	
430	 43	 99.25	
435	 44	 99.75	
439	 45	 99.75	
418	 46	 99.62	
407	 47	 99.37	
424	 48	 99.75	
425	 49	 99.38	
426	 50	 100	
